t,height,radius,angle_deg,particles_at_rest
0.0010,6.248936e-02,5.303301e-02,0.0000,98
0.0260,6.174104e-02,5.360961e-02,0.4618,54
0.0510,6.071243e-02,5.466843e-02,1.0974,54
0.0760,5.976707e-02,5.574740e-02,16.0002,58
0.1010,5.900203e-02,5.670592e-02,15.7236,71
0.1260,5.841318e-02,5.751145e-02,20.2670,95
0.1510,5.795944e-02,5.817904e-02,7.4053,116
0.1760,5.760188e-02,5.873682e-02,7.5343,132
0.2010,5.731296e-02,5.921097e-02,4.7800,148
0.2260,5.707329e-02,5.962157e-02,4.9363,165
0.2510,5.686954e-02,5.998417e-02,3.7888,177
0.2760,5.669269e-02,6.030961e-02,6.3228,197
0.3010,5.653686e-02,6.060566e-02,6.4226,205
0.3260,5.639814e-02,6.087735e-02,6.5164,213
0.3510,5.627351e-02,6.112900e-02,6.6055,221
0.3760,5.616108e-02,6.136377e-02,6.6905,229
0.4010,5.605930e-02,6.158334e-02,6.7651,233
0.4260,5.596642e-02,6.179025e-02,6.8294,233
0.4510,5.588022e-02,6.198790e-02,10.0587,241
0.4760,5.579920e-02,6.217873e-02,10.0847,241
0.5010,5.572230e-02,6.236474e-02,10.7211,241
0.5260,5.564728e-02,6.254879e-02,10.7469,241
0.5510,5.557191e-02,6.273331e-02,10.7739,241
0.5760,5.549599e-02,6.291910e-02,10.2432,241
0.6010,5.542003e-02,6.310560e-02,10.2986,241
0.6260,5.534418e-02,6.329221e-02,10.3551,241
0.6510,5.526865e-02,6.347881e-02,10.4126,241
0.6760,5.519326e-02,6.366540e-02,10.4707,241
0.7010,5.511814e-02,6.385198e-02,10.5302,241
0.7260,5.504349e-02,6.403825e-02,10.5901,241
0.7510,5.496928e-02,6.422431e-02,8.9794,241
0.7760,5.489561e-02,6.440963e-02,9.0391,241
0.8010,5.482238e-02,6.459464e-02,9.0999,241
0.8260,5.474943e-02,6.477932e-02,5.3176,241
0.8510,5.467701e-02,6.496342e-02,5.4164,241
0.8760,5.460523e-02,6.514685e-02,5.5156,241
0.9010,5.453391e-02,6.532978e-02,5.6151,241
0.9260,5.446294e-02,6.551241e-02,5.7150,241
0.9510,5.439231e-02,6.569473e-02,7.9590,241
0.9760,5.432248e-02,6.587648e-02,8.0483,241
1.0010,5.425326e-02,6.605785e-02,8.1380,241
1.0260,5.418457e-02,6.623912e-02,8.2282,241
1.0510,5.411632e-02,6.642023e-02,8.3189,241
1.0760,5.404864e-02,6.660105e-02,8.8934,241
1.1010,5.398148e-02,6.678151e-02,8.9809,241
1.1260,5.391464e-02,6.696156e-02,7.6278,241
1.1510,5.384823e-02,6.714141e-02,7.7277,241
1.1760,5.378179e-02,6.732123e-02,7.8276,241
1.2010,5.371556e-02,6.750101e-02,7.9281,241
1.2260,5.364915e-02,6.768112e-02,10.2868,241
1.2510,5.358279e-02,6.786165e-02,10.3887,241
1.2760,5.351641e-02,6.804251e-02,10.4912,241
1.3010,5.344995e-02,6.822401e-02,10.5944,241
1.3260,5.338319e-02,6.840651e-02,10.6982,241
1.3510,5.331638e-02,6.858955e-02,10.9525,241
1.3760,5.324972e-02,6.877293e-02,11.0566,241
1.4010,5.318324e-02,6.895662e-02,11.1613,241
1.4260,5.311667e-02,6.914081e-02,11.2669,241
1.4510,5.305001e-02,6.932577e-02,11.3733,241
1.4760,5.298318e-02,6.951153e-02,13.2245,241
1.5010,5.291623e-02,6.969776e-02,13.3043,241
1.5260,5.284934e-02,6.988442e-02,13.3848,241
1.5510,5.278266e-02,7.007135e-02,13.4660,241
1.5760,5.271617e-02,7.025844e-02,13.5479,241
1.6010,5.264987e-02,7.044572e-02,13.6306,241
1.6260,5.258368e-02,7.063309e-02,13.7141,241
1.6510,5.251749e-02,7.082047e-02,13.7986,241
1.6760,5.245123e-02,7.100818e-02,13.8836,241
1.7010,5.238486e-02,7.119617e-02,15.1839,241
1.7260,5.231828e-02,7.138468e-02,15.2677,241
1.7510,5.225121e-02,7.157374e-02,13.4849,233
1.7760,5.218351e-02,7.176377e-02,13.5904,233
1.8010,5.211563e-02,7.195438e-02,13.6279,233
1.8260,5.204780e-02,7.214503e-02,13.7323,233
1.8510,5.197993e-02,7.233558e-02,13.8377,233
1.8760,5.191174e-02,7.252644e-02,13.4607,233
1.9010,5.184297e-02,7.271790e-02,13.5725,233
1.9260,5.177361e-02,7.291007e-02,13.6854,233
1.9510,5.170371e-02,7.310288e-02,13.7995,233
1.9760,5.163320e-02,7.329617e-02,13.9145,233
