t,tine_x,reaction_fx,reaction_fy,reaction_fz
0.0042,-4.916667e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.0208,-4.583334e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.0375,-4.250001e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.0542,-3.916668e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.0708,-3.583335e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.0875,-3.250002e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.1042,-2.916669e-02,-3.600000e+01,0.000000e+00,0.000000e+00
0.1208,-2.583336e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.1375,-2.250003e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.1542,-1.916670e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.1708,-1.583337e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.1875,-1.250003e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.2042,-9.166699e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.2208,-5.833365e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.2375,-2.500031e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.2542,8.333026e-04,0.000000e+00,0.000000e+00,0.000000e+00
0.2708,4.166636e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.2875,7.499970e-03,0.000000e+00,0.000000e+00,0.000000e+00
0.3042,1.083330e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.3208,1.416664e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.3375,1.749997e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.3542,2.083330e-02,-3.600000e+01,0.000000e+00,0.000000e+00
0.3708,2.416663e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.3875,2.749996e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.4042,3.083329e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.4208,3.416662e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.4375,3.749995e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.4542,4.083328e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.4708,4.416661e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.4875,4.749994e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.5042,5.083327e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.5208,5.416660e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.5375,5.749993e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.5542,6.083326e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.5708,6.416659e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.5875,6.749992e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.6042,7.083325e-02,-3.600000e+01,0.000000e+00,0.000000e+00
0.6208,7.416658e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.6375,7.749991e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.6542,8.083324e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.6708,8.416657e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.6875,8.749990e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.7042,9.083323e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.7208,9.416656e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.7375,9.749989e-02,0.000000e+00,0.000000e+00,0.000000e+00
0.7542,1.008332e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.7708,1.041666e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.7875,1.074999e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.8042,1.108332e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.8208,1.141665e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.8375,1.174999e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.8542,1.208332e-01,-3.600000e+01,0.000000e+00,0.000000e+00
0.8708,1.241665e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.8875,1.274999e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.9042,1.308332e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.9208,1.341665e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.9375,1.374999e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.9542,1.408332e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.9708,1.441665e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.9875,1.474998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.0042,1.508332e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.0208,1.541665e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.0375,1.574998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.0542,1.608332e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.0708,1.641665e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.0875,1.674998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.1042,1.708332e-01,-3.600000e+01,0.000000e+00,0.000000e+00
1.1208,1.741665e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.1375,1.774998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.1542,1.808331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.1708,1.841665e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.1875,1.874998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.2042,1.908331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.2208,1.941665e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.2375,1.974998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.2542,2.008331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.2708,2.041665e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.2875,2.074998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.3042,2.108331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.3208,2.141664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.3375,2.174998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.3542,2.208331e-01,-3.600000e+01,0.000000e+00,0.000000e+00
1.3708,2.241664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.3875,2.274998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.4042,2.308331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.4208,2.341664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.4375,2.374998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.4542,2.408331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.4708,2.441664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.4875,2.474997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.5042,2.508331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.5208,2.541664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.5375,2.574998e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.5542,2.608331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.5708,2.641664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.5875,2.674997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.6042,2.708331e-01,-3.600000e+01,0.000000e+00,0.000000e+00
1.6208,2.741664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.6375,2.774997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.6542,2.808331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.6708,2.841664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.6875,2.874997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.7042,2.908331e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.7208,2.941664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.7375,2.974997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.7542,3.008330e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.7708,3.041664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.7875,3.074997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.8042,3.108330e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.8208,3.141664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.8375,3.174997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.8542,3.208330e-01,-3.600000e+01,0.000000e+00,0.000000e+00
1.8708,3.241664e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.8875,3.274997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.9042,3.308330e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.9208,3.341663e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.9375,3.374997e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.9542,3.408330e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.9708,3.441663e-01,0.000000e+00,0.000000e+00,0.000000e+00
1.9875,3.474997e-01,0.000000e+00,0.000000e+00,0.000000e+00
